# 1191
IMDb ID	Title	Year	Language(s)
tt0031971	Stagecoach	1939	English
tt0031867	The Roaring Twenties	1939	English
tt0031381	Gone with the Wind	1939	English
tt0031060	At the Circus	1939	English
tt0032007	Tarzan Finds a Son!	1939	English
tt0031679	Mr. Smith Goes to Washington	1939	English
tt0031536	King of the Underworld	1939	English


# 1940
tt0032599	His Girl Friday	1940	English, French
tt0032553	The Great Dictator	1940	English, Esperanto
tt0033152	The Thief of Bagdad	1940	English
tt0032910	Pinocchio	1940	English
tt0032790	Midnight Limited	1940	English
tt0032551	The Grapes of Wrath	1940	English
tt0032762	The Mark of Zorro	1940	English, Spanish
tt0032484	Foreign Correspondent	1940	English, Dutch, Latvian
tt0032455	Fantasia	1940	English
tt0293919	Screen Snapshots Series 19, No 6: Hollywood Recreations	1940	English
tt0032976	Rebecca	1940	English, French

# 1941
tt0033870	The Maltese Falcon	1941	English
tt0033563	Dumbo	1941	English
tt0034396	Invitation to the Dance	1941	German
tt0033717	High Sierra	1941	English
tt0033467	Citizen Kane	1941	English
tt0451917	Slaying Dragon by Supernatural Power	1941	Cantonese

# 1942
tt0035446	To Be or Not to Be	1942	English, German
tt0034492	Bambi	1942	English
tt0347118	Lure of the Surf	1942	English
tt0034583	Casablanca	1942	English, French, German, Italian
tt0034734	Spitfire	1942	English, Italian, German
tt0035794	Der Fuehrer's Face	1942	German, English
tt0034427	Acro-Batty	1942	English

# 1943
tt0036342	Shadow of a Doubt	1943	English
tt0036244	The Ox-Bow Incident	1943	English, Spanish
tt0035896	For Whom the Bell Tolls	1943	English, Spanish
tt0036323	Sahara	1943	English, German, Italian, French

# 1944
tt0036591	Ali Baba and the Forty Thieves	1944	English
tt0037017	Lifeboat	1944	English, German, French
tt0037366	Thirty Seconds Over Tokyo	1944	English, Mandarin
tt0036613	Arsenic and Old Lace	1944	English, German
tt0036601	And to Think That I Saw It on Mulberry Street	1944	English
tt0036775	Double Indemnity	1944	English
tt0276783	Attack in the Pacific	1944	English
tt0036644	The Big Noise	1944	English
tt0184254	The Battle of China	1944	English
tt0037008	Laura	1944	English

# 1945
tt0037884	The Lost Weekend	1945	English
tt0038109	Spellbound	1945	English
tt0037514	Anchors Aweigh	1945	English, Spanish
tt0037558	Brief Encounter	1945	English
tt0318261	Youth for the Kingdom	1945	English

# 1946
tt0038787	Notorious	1946	English, French, Portuguese
tt0039011	Tarzan and the Leopard Woman	1946	English
tt0038650	It's a Wonderful Life	1946	English
tt0038355	The Big Sleep	1946	English
tt0036868	The Best Years of Our Lives	1946	English
tt0038559	Gilda	1946	English, Spanish, French, German
tt0038762	My Darling Clementine	1946	English, Spanish

# 1947
tt0039631	Monsieur Verdoux	1947	English
tt0039808	The Secret Life of Walter Mitty	1947	English, French, German
tt0040336	Fado, História d'uma Cantadeira	1947	Portuguese
tt0039776	Road to Rio	1947	English
tt0035929	People of the Po Valley	1947	Italian
tt0039288	Cry Wolf	1947	English
tt0039689	Out of the Past	1947	English, American Sign Language
tt0039628	Miracle on 34th Street	1947	English, Dutch
tt0039220	Brighton Rock	1948	English

# 1948
tt0040746	Rope	1948	English
tt0040725	The Red Shoes	1948	English, French, Russian
tt0496922	Alaska: A Modern Frontier (Revised)	1948	English
tt0191937	La dama del collar	1948	Spanish
tt0040872	They Live by Night	1948	English
tt0040522	Bicycle Thieves	1948	Italian
tt0040897	The Treasure of the Sierra Madre	1948	English, Spanish
tt0040506	Key Largo	1948	English, Italian

# 1949
tt0041859	The Set-Up	1949	English
tt0041604	Love Happy	1949	English
tt0036043	The Invader	1949	N/A
tt0041838	Samson and Delilah	1949	English
tt0042041	White Heat	1949	English
tt0041546	Kind Hearts and Coronets	1949	English
tt0041113	All the King's Men	1949	English
tt0041959	The Third Man	1949	English, German, Russian

# 1950
tt0042279	Branded	1950	English
tt0042876	Rashomon	1950	Japanese
tt0042646	King Solomon's Mines	1950	English
tt0042332	Cinderella	1950	English
tt0042994	Stage Fright	1950	English
tt0042177	8 Ball Bunny	1950	English
tt0043067	Treasure Island	1950	English
tt0043014	Sunset Boulevard	1950	English
tt0041719	Orpheus	1950	French
tt0042192	All About Eve	1950	English, French
tt0042464	The Flame and the Arrow	1950	English

# 1951
tt0042539	Halls of Montezuma	1951	English, Japanese
tt0043208	I Love Lucy	1951–1957	English, Spanish
tt0044079	Strangers on a Train	1951	English, French
tt0043456	The Day the Earth Stood Still	1951	English, French, Hindi, Russian
tt0043265	The African Queen	1951	English, German, Swahili
tt0043274	Alice in Wonderland	1951	English
tt0044081	A Streetcar Named Desire	1951	English, Spanish

# 1952
tt0044517	The Crimson Pirate	1952	English
tt0044314	5 Fingers	1952	English, German, Portuguese, Turkish
tt0044741	Ikiru	1952	Japanese
tt0044706	High Noon	1952	English, Spanish
tt0045034	Le Plaisir	1952	French, English
