IMDb ID	Title	Year	Language(s)
tt0376136	The Rum Diary	2011	English, Spanish, German
tt0377981	Gnomeo & Juliet	2011	English
tt0409847	Cowboys & Aliens	2011	English, Apache languages
tt0433035	Real Steel	2011	English, Ukrainian
tt0448694	Puss in Boots	2011	English, Spanish
tt0458339	Captain America: The First Avenger	2011	English, Norwegian, French
tt0466893	Margaret	2011	English
tt0471042	Tower Heist	2011	English, Spanish, Chinese
tt0472181	The Smurfs	2011	English
tt0472399	The Mechanic	2011	English
tt0477302	Extremely Loud & Incredibly Close	2011	English
tt0478304	The Tree of Life	2011	English
tt0479997	Season of the Witch	2011	English, Latin
tt0480239	Atlas Shrugged: Part I	2011	English
tt0480687	Hall Pass	2011	English
tt0491152	Something Borrowed	2011	English
tt0770703	What's Your Number?	2011	English
tt0770802	Samsara	2011	None
tt0780504	Drive	2011	English, Spanish
tt0800369	Thor	2011	English
tt0803061	Red Dog	2011	English, Polish
tt0810913	Jack and Jill	2011	English
tt0810922	Take Me Home Tonight	2011	English
tt0816462	Conan the Barbarian	2011	English
tt0822847	Priest	2011	English
tt0844993	Hoodwinked Too! Hood vs. Evil	2011	English
tt0847825	The Speed of Thought	2011	English
tt0873886	Red State	2011	English
tt0881320	Sanctum	2011	English
tt0893412	From Prada to Nada	2011	English, Spanish
tt0905372	The Thing	2011	English, Norwegian, Danish
tt0944947	Game of Thrones	2011–	English
tt0945513	Source Code	2011	English
tt0961097	A Monster in Paris	2011	French, English
tt0970179	Hugo	2011	English
tt0978764	Sucker Punch	2011	English, German
tt0983193	The Adventures of Tintin	2011	English
tt0990407	The Green Hornet	2011	English, Mandarin
tt0993842	Hanna	2011	English, French, German, Italian, Arabic, Spanish
tt0999913	Straw Dogs	2011	English
tt1007029	The Iron Lady	2011	English
tt1027820	Asylum Blackout	2011	English
tt1033575	The Descendants	2011	English
tt1034389	The Eagle	2011	English, Scottish Gaelic
tt1046171	You and I	2011	English, Russian
tt1046245	Cross	2011	English
tt1053810	The Big Year	2011	English
tt1067583	Water for Elephants	2011	English, Polish
tt1067774	Monte Carlo	2011	English
tt1068242	Footloose	2011	English
tt1071875	Ghost Rider: Spirit of Vengeance	2011	English, Romanian
tt1083448	A Princess for Christmas	2011	English
tt1083462	Mardi Gras: Spring Break	2011	English
tt1092026	Paul	2011	English, Klingon
tt1093357	The Darkest Hour	2011	English, Russian
tt1117581	Arena	2011	English, Mandarin
tt1124035	The Ides of March	2011	English
tt1133985	Green Lantern	2011	English
tt1152398	Beastly	2011	English
tt1161864	The Rite	2011	English, Welsh, Italian, Latin, Russian, Hungarian
tt1181614	Wuthering Heights	2011	English
tt1185995	Pilot	2011	English
tt1185996	Anger Management	2011	English
tt1185997	Cause and Effect	2011	English
tt1185998	Rosetta	2011	English
tt1185999	Never Let Me Go	2011	English
tt1186000	Catch and Release	2011	English
tt1189073	The Skin I Live In	2011	Spanish
tt1189340	The Lincoln Lawyer	2011	English
tt1192628	Rango	2011	English
tt1201607	Harry Potter and the Deathly Hallows: Part 2	2011	English
tt1204340	Tyrannosaur	2011	English
tt1204342	The Muppets	2011	English
tt1205558	Hick	2011	English
tt1210166	Moneyball	2011	English
tt1214962	Seeking Justice	2011	English
tt1216475	Cars 2	2011	English, Japanese, Italian, French
tt1217613	Battle Los Angeles	2011	English, Ukrainian
tt1219289	Limitless	2011	English, Russian, Italian, Mandarin, French
tt1222817	Zookeeper	2011	English
tt1223236	African Cats	2011	English
tt1227789	Rites of Spring	2011	English
tt1229238	Mission: Impossible - Ghost Protocol	2011	English, Russian, French, Arabic, Swedish
tt1229822	Jane Eyre	2011	English, French
tt1231586	A Good Old Fashioned Orgy	2011	English
tt1233301	Ironclad	2011	English, Hungarian, Latin, Danish
