# 1992 - error with tt1869619453
IMDb ID	Title	Year	Language(s)
tt0102443	A Midnight Clear	1992	English
tt0103359	Batman: The Animated Series	1992–1995	English
tt0103584	X-Men	1992–1997	English
tt0103586	The Young Indiana Jones Chronicles	1992–1993	English
tt0103594	1492: Conquest of Paradise	1992	English
tt0103596	3 Ninjas	1992	English
tt0103639	Aladdin	1992	English
tt0103644	Alien 3	1992	English
tt0103671	American Me	1992	English
tt0103772	Basic Instinct	1992	English
tt0103776	Batman Returns	1992	English
tt0103786	Beethoven	1992	English
tt0103791	Belle Epoque	1992	Spanish, French
tt0103793	Benny's Video	1992	German, English, Arabic, French
tt0103855	The Bodyguard	1992	English
tt0103859	Boomerang	1992	English, French
tt0103872	Brain Donors	1992	English
tt0103873	Dead Alive	1992	English, Spanish
tt0103874	Bram Stoker's Dracula	1992	English, Romanian, Greek, Bulgarian, Latin
tt0103893	Buffy the Vampire Slayer	1992	English
tt0103919	Candyman	1992	English
tt0103939	Chaplin	1992	English
tt0103994	Like Water for Chocolate	1992	Spanish, English
tt0104006	Consenting Adults	1992	English
tt0104036	The Crying Game	1992	English
tt0104070	Death Becomes Her	1992	English
tt0104231	Far and Away	1992	English
tt0104237	Damage	1992	English, French, German, Italian
tt0104257	A Few Good Men	1992	English, French
tt0104265	Final Analysis	1992	English
tt0104286	Fool's Gold: The Story of the Brink's-Mat Robbery	1992	English
tt0104291	Forever Young	1992	English
tt0104346	Gladiator	1992	English
tt0104348	Glengarry Glen Ross	1992	English
tt0104362	Grand Tour: Disaster in Time	1992	English
tt0104389	The Hand That Rocks the Cradle	1992	English
tt0104412	Hero	1992	English
tt0104431	Home Alone 2: Lost in New York	1992	English, French
tt0104454	Howards End	1992	English, German
tt0104466	Husbands and Wives	1992	English
tt0104558	Supercop	1992	Cantonese, English, Mandarin, Malay, Thai
tt0104573	Juice	1992	English
tt0104647	Kuffs	1992	English
tt0104670	Ladybugs	1992	English
tt0104691	The Last of the Mohicans	1992	English, French, Mohawk
tt0104692	The Lawnmower Man	1992	English
tt0104694	A League of Their Own	1992	English
tt0104714	Lethal Weapon 3	1992	English
tt0104756	Lorenzo's Oil	1992	English, Italian
tt0104779	Bitter Moon	1992	English, French
tt0104797	Malcolm X	1992	English
tt0104815	El Mariachi	1992	Spanish
tt0104868	The Mighty Ducks	1992	English
tt0104897	Mo' Money	1992	English
tt0104952	My Cousin Vinny	1992	English
tt0105046	Of Mice and Men	1992	English
tt0105104	Passenger 57	1992	English
tt0105112	Patriot Games	1992	English
tt0105128	Pet Sematary II	1992	English
tt0105151	The Player	1992	English
tt0105159	The Power of One	1992	English
tt0105219	Rapid Fire	1992	English, Cantonese
tt0105236	Reservoir Dogs	1992	English
tt0105265	A River Runs Through It	1992	English
tt0105275	Romper Stomper	1992	English, Vietnamese, German, Japanese, Portuguese
tt0105323	Scent of a Woman	1992	English
tt0105399	Twin Dragons	1992	Cantonese
tt0105411	Simple Men	1992	English
tt0105415	Singles	1992	English
tt0105417	Sister Act	1992	English
tt0105435	Sneakers	1992	English, Russian, Chinese
tt0105477	Stop! Or My Mom Will Shoot	1992	English
tt0105483	A Stranger Among Us	1992	English, Yiddish, Hebrew
tt0105629	Toys	1992	English
tt0105665	Twin Peaks: Fire Walk with Me	1992	English
tt0105682	Un Coeur en Hiver	1992	French
tt0105690	Under Siege	1992	English, Italian
tt0105695	Unforgiven	1992	English
tt0105698	Universal Soldier	1992	English
tt0105793	Wayne's World	1992	English, Cantonese
tt0105812	White Men Can't Jump	1992	English
tt0105839	Once Upon a Time in China II	1992	Cantonese, English
tt0105943	As Time Goes By	1992–2005	English
tt0106308	Army of Darkness	1992	English
tt0106557	Children of the Corn II: The Final Sacrifice	1992	English
tt0108031	Samba Traoré	1992	More, French
