IMDb ID	Title	Year	Language(s)
tt0120679	Frida	2002	English, French, Russian
tt0120804	Resident Evil	2002	English
tt0120912	Men in Black II	2002	English
tt0121765	Star Wars: Episode II - Attack of the Clones	2002	English
tt0133240	Treasure Planet	2002	English
tt0145487	Spider-Man	2002	English
tt0157472	Clockstoppers	2002	English
tt0160184	Eye See You	2002	English
tt0164184	The Sum of All Fears	2002	English, Russian, Ukrainian, German, Arabic
tt0165832	Interstate 60: Episodes of the Road	2002	English
tt0166813	Spirit: Stallion of the Cimarron	2002	English
tt0167261	The Lord of the Rings: The Two Towers	2002	English, Sindarin, Old English
tt0168786	Antwone Fisher	2002	English, Japanese
tt0180052	The Adventures of Pluto Nash	2002	English
tt0181689	Minority Report	2002	English, Swedish
tt0183649	Phone Booth	2002	English, Swahili
tt0187738	Blade II	2002	English, Romanian, Czech
tt0209077	Ken Park	2002	English
tt0210294	Snow Queen	2002	English
tt0217505	Gangs of New York	2002	English, Irish, Chinese, Latin
tt0218864	Buying the Cow	2002	English
tt0219400	Waking Up in Reno	2002	English
tt0220506	Halloween: Resurrection	2002	English
tt0231448	Deuces Wild	2002	English
tt0233044	Dinotopia	2002–	English
tt0233469	Collateral Damage	2002	English, Spanish
tt0235737	The Salton Sea	2002	English
tt0238380	Equilibrium	2002	English
tt0238546	Queen of the Damned	2002	English
tt0238936	Devdas	2002	Hindi, Urdu, Bengali
tt0240468	Kung Pow: Enter the Fist	2002	English
tt0240510	The Four Feathers	2002	English
tt0240900	Slackers	2002	English
tt0241760	The New Guy	2002	English
tt0243585	Stuart Little 2	2002	English
tt0243736	40 Days and 40 Nights	2002	English
tt0245294	Moonlight	2002	English, French
tt0245562	Windtalkers	2002	English, Navajo, Japanese
tt0245844	The Count of Monte Cristo	2002	English
tt0246460	Die Another Day	2002	English, Korean, Cantonese, Spanish, German, Icelandic, Italian, Arabic
tt0246464	Big Trouble	2002	English
tt0246677	Heaven	2002	Italian, English
tt0248640	Hard Cash	2002	English
tt0250223	Asterix and Obelix Meet Cleopatra	2002	French, Arabic, Cantonese, Latin, German
tt0250292	Cheats	2002	English
tt0250468	Killing Me Softly	2002	English
tt0250797	Unfaithful	2002	English, French
tt0251114	Hart's War	2002	English, German
tt0251160	John Q	2002	English, Spanish
tt0251806	Long Time Dead	2002	English
tt0252076	Maid in Manhattan	2002	English, French, Spanish
tt0252444	Rabbit-Proof Fence	2002	Aboriginal, English
tt0253474	The Pianist	2002	English, German, Russian
tt0253556	Reign of Fire	2002	English
tt0253754	Star Trek: Nemesis	2002	English
tt0253867	The Sweetest Thing	2002	English
tt0255477	Pinocchio	2002	Italian
tt0256276	Possession	2002	English, French
tt0256415	Sweet Home Alabama	2002	English
tt0257044	Road to Perdition	2002	English
tt0257360	About Schmidt	2002	English
tt0257756	High Crimes	2002	English, Spanish
tt0258000	Panic Room	2002	English
tt0258068	The Quiet American	2002	English, French, Vietnamese
tt0258153	S1m0ne	2002	English
tt0258463	The Bourne Identity	2002	English, French, German, Dutch, Italian
tt0259288	Dragonfly	2002	English, Spanish
tt0259446	My Big Fat Greek Wedding	2002	English, Greek
tt0259484	Paid in Full	2002	English
tt0261289	Serving Sara	2002	English, Spanish
tt0262396	Empire	2002	English, Spanish
tt0264429	Black Mask 2: City of Masks	2002	English, Japanese
tt0264464	Catch Me If You Can	2002	English, French
tt0264472	Changing Lanes	2002	English
tt0264935	Murder by Numbers	2002	English
tt0265298	Big Fat Liar	2002	English
tt0265349	The Mothman Prophecies	2002	English
tt0265459	One Hour Photo	2002	English
tt0265651	Ripley's Game	2002	English, German, Italian
tt0265662	The Rookie	2002	English
tt0265808	Stealing Harvard	2002	English
tt0266452	Death to Smoochy	2002	English
tt0267248	Abandon	2002	English, Italian
tt0267626	K-19: The Widowmaker	2002	English, Russian
tt0267913	Scooby-Doo	2002	English
tt0268126	Adaptation.	2002	English, Latin
tt0268380	Ice Age	2002	English
tt0268695	The Time Machine	2002	English
tt0269095	City by the Sea	2002	English
tt0270197	American Gun	2002	English
tt0270288	Confessions of a Dangerous Mind	2002	English, Spanish
tt0270707	The Truth About Charlie	2002	English, French, Arabic
tt0271259	Welcome to Collinwood	2002	English
tt0271263	Eight Crazy Nights	2002	English
tt0271367	Eight Legged Freaks	2002	English
tt0271882	You Stupid Man	2002	English
tt0271885	Zig Zag	2002	English
tt0272147	Vampires: Los Muertos	2002	English
tt0272207	Narc	2002	English, Spanish
tt0272338	Punch-Drunk Love	2002	English
tt0273041	13th Child	2002	English
tt0273435	Ararat	2002	English, Armenian, French, German, Turkish
tt0273517	Darkness	2002	English
tt0273923	Orange County	2002	English, Spanish
tt0274558	The Hours	2002	English
tt0274711	People I Know	2002	English
tt0274812	Secretary	2002	English
tt0275022	Crossroads	2002	English
tt0275847	Lilo & Stitch	2002	English, Hawaiian
tt0275947	Avenging Angelo	2002	English
tt0276751	About a Boy	2002	English
tt0276816	Below	2002	English
tt0277296	The Scorpion King	2002	English
tt0277434	We Were Soldiers	2002	English, Vietnamese, French
tt0278295	All About the Benjamins	2002	English, French
tt0278435	Enough	2002	English
tt0278500	The Importance of Being Earnest	2002	English, German
tt0278504	Insomnia	2002	English
tt0278723	The Skulls II	2002	English
tt0278731	Spider	2002	English
tt0278823	Hollywood Ending	2002	English, Mandarin
tt0279113	The Good Girl	2002	English
tt0279331	Dark Blue	2002	English
tt0279493	Undercover Brother	2002	English
