IMDb ID	Title	Year	Language(s)
tt0129871	Desperation	2006	English
tt0206634	Children of Men	2006	English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian
tt0244521	Funny Money	2006	English, Romanian
tt0251951	Pretty Cool	2006	English
tt0298337	Free Jimmy	2006	English, Norwegian
tt0301555	God Grew Tired of Us	2006	English
tt0308055	Bobby	2006	English, Spanish
tt0308353	Happily N'Ever After	2006	English
tt0313707	The Time Tunnel	2006	English
tt0317219	Cars	2006	English, Italian, Japanese, Yiddish
tt0317919	Mission: Impossible III	2006	English, Italian, Mandarin, Cantonese, German, Czech
tt0323120	Loving Annabelle	2006	English
tt0327084	Over the Hedge	2006	English
tt0331488	Ring Around the Rosie	2006	English
tt0339086	Goose on the Loose	2006	English
tt0343737	The Good Shepherd	2006	English, Spanish, Russian, German, Lingala
tt0344854	Arthur and the Invisibles	2006	English
tt0345461	The Detonator	2006	English
tt0348150	Superman Returns	2006	English, German, French
tt0349467	Freedomland	2006	English, Italian
tt0354899	The Science of Sleep	2006	French, English, Spanish
tt0360323	10th & Wolf	2006	English, Italian
tt0362058	The Quest	2006	English
tt0362120	Scary Movie 4	2006	English, Japanese
tt0362225	Tell No One	2006	French
tt0364955	Art School Confidential	2006	English
tt0365830	Tenacious D in The Pick of Destiny	2006	English
tt0366548	Happy Feet	2006	English
tt0367027	Shortbus	2006	English
tt0367088	Spymate	2006	English
tt0370032	Ultraviolet	2006	English, Vietnamese
tt0371552	Asterix and the Vikings	2006	French, English
tt0375154	Tristan + Isolde	2006	English
tt0375785	Gray Matters	2006	English
tt0376994	X-Men: The Last Stand	2006	English
tt0380066	The Woods	2006	English
tt0381061	Casino Royale	2006	English, French
tt0381341	Kisses and Caroms	2006	English
tt0381971	Curious George	2006	English
tt0382625	The Da Vinci Code	2006	English, French, Latin, Spanish
tt0382765	Jindabyne	2006	English, Irish, Aboriginal
tt0383060	Zoom	2006	English
tt0383216	The Pink Panther	2006	English
tt0383574	Pirates of the Caribbean: Dead Man's Chest	2006	English, Turkish, Greek, Mandarin, French
tt0384537	Silent Hill	2006	English
tt0384793	Accepted	2006	English
tt0384814	Ask the Dust	2006	English, Spanish
tt0385726	Glory Road	2006	English
tt0385880	Monster House	2006	English
tt0386741	Renaissance	2006	English, French
tt0387808	Idiocracy	2006	English
tt0387877	The Black Dahlia	2006	English, German
tt0389360	Sea of Fear	2006	English
tt0389557	Black Book	2006	Dutch, German, English, Hebrew
tt0389860	Click	2006	English, Portuguese, Japanese
tt0393735	The Shaggy Dog	2006	English
tt0395119	Captain Alatriste: The Spanish Musketeer	2006	Spanish, Flemish, Latin, Portuguese, Dutch
tt0395495	Catch and Release	2006	English
tt0396032	Getting Played	2006	English
tt0396042	The Ugly Duckling and Me!	2006	English, French, German, Danish
tt0396171	Perfume: The Story of a Murderer	2006	English
tt0397078	Just My Luck	2006	English
tt0397313	Eight Below	2006	English
tt0398842	The Celestine Prophecy	2006	English
tt0398913	DOA: Dead or Alive	2006	English
tt0400717	Open Season	2006	English
tt0401445	A Good Year	2006	English, French, Russian
tt0401711	Paris, je t'aime	2006	French, English, Spanish, Mandarin, Arabic
tt0401855	Underworld: Evolution	2006	English, French, Hungarian
tt0403407	Perfect Creature	2006	English
tt0404163	Even Money	2006	English
tt0404203	Little Children	2006	English
tt0404390	Running Scared	2006	English, Russian, Spanish
tt0405094	The Lives of Others	2006	German
tt0405296	A Scanner Darkly	2006	English
tt0405336	Southland Tales	2006	English
tt0405469	The Wild	2006	English
tt0405676	All the King's Men	2006	English
tt0406816	The Guardian	2006	English
tt0407887	The Departed	2006	English, Cantonese
tt0408345	Firewall	2006	English
tt0408985	Last Holiday	2006	English, French
tt0409043	Grilled	2006	English
tt0409182	Poseidon	2006	English, Spanish
tt0409681	Lies & Alibis	2006	English
tt0409793	Cargo	2006	English, Spanish
tt0409904	Day Watch	2006	Russian
tt0410297	The Lake House	2006	English
tt0410730	Taxidermia	2006	Hungarian, English, Russian
tt0412798	Half Light	2006	English
tt0413895	Charlotte's Web	2006	English
tt0414853	Barnyard	2006	English
tt0414982	Final Destination 3	2006	English
tt0414993	The Fountain	2006	English, Maya
tt0415306	Talladega Nights: The Ballad of Ricky Bobby	2006	English, French
tt0415345	Seven Mummies	2006	English
tt0415778	End Game	2006	English
tt0415949	Keeping Up with the Steins	2006	English, Hebrew
tt0416051	Mr. Fix It	2006	English
tt0416316	Wolfhound	2006	Russian
tt0416449	300	2006	English
tt0416496	Bandidas	2006	English, Spanish
tt0416688	Dishdogz	2005	English
tt0416871	Jade Warrior	2006	Finnish, Mandarin
tt0417056	Pledge This!	2006	English
tt0417148	Snakes on a Plane	2006	English
tt0417225	Idlewild	2006	English
tt0417433	Annapolis	2006	English
tt0417871	Klimt	2006	English, German, French
tt0418689	Flags of our Fathers	2006	English
tt0419073	Princess	2006	Danish
tt0419081	Psychopathia Sexualis	2006	English
tt0419146	A Soap	2006	Danish, English
tt0419749	Find Me Guilty	2006	English
tt0419815	Holly	2006	English, Khmer, Vietnamese
tt0419946	The Marine	2006	English, Arabic
tt0420087	A Prairie Home Companion	2006	English, Norwegian
tt0420223	Stranger Than Fiction	2006	English
tt0420294	The Texas Chainsaw Massacre: The Beginning	2006	English
tt0420609	Infamous	2006	English
tt0420757	Man About Town	2006	English
tt0421116	Alpha Male	2006	English
tt0421206	Gridiron Gang	2006	English
tt0421729	Big Momma's House 2	2006	English
tt0422295	Fur: An Imaginary Portrait of Diane Arbus	2006	English
tt0422401	Hatchet	2006	English
tt0422720	Marie Antoinette	2006	English, Latin, French
tt0422861	The Oh in Ohio	2006	English
tt0423116	Sam's Lake	2006	English
tt0423169	Sherrybaby	2006	English
tt0424095	Flushed Away	2006	English
tt0424345	Clerks II	2006	English
tt0424880	Candy	2006	English
tt0424908	Copying Beethoven	2006	English
tt0424938	Karla	2006	English
tt0424942	Deep Sea	2006	English
tt0424993	Employee of the Month	2006	English
tt0425196	Like Minds	2006	English
tt0425210	Lucky Number Slevin	2006	English
tt0425253	Mini's First Time	2006	English
tt0425326	Outsourced	2006	English, Hindi
tt0425395	Relative Strangers	2006	English
tt0425601	Trailer Park Boys: The Movie	2006	English
tt0426883	Alpha Dog	2006	English
tt0427229	Failure to Launch	2006	English
tt0427528	Mercenary for Justice	2006	English
tt0427969	Hollywoodland	2006	English, Spanish
tt0428446	The Darwin Awards	2006	English
tt0428541	Five Fingers	2006	English
tt0429068	The Second Chance	2006	English
tt0429589	The Ant Bully	2006	English
tt0429591	Aquamarine	2006	English
tt0430164	Films to Keep You Awake: The Baby's Room	2006	Spanish
tt0430304	Littleman	2006	English, Estonian
tt0430357	Miami Vice	2006	English, Spanish
tt0430431	One Night with the King	2006	English
tt0430634	Stick It	2006	English
tt0430674	The Thief Lord	2006	English
tt0430779	Everyone's Hero	2006	English
tt0430912	Basic Instinct 2	2006	English
tt0431058	Fatwa	2006	English
tt0432289	First Snow	2006	English
tt0432373	Vegas, Baby	2006	English
tt0432637	Krrish	2006	Hindi, English, Cantonese, Tamil
tt0433349	Bottoms Up	2006	English
tt0433386	The Grudge 2	2006	English, Japanese
tt0433412	Material Girls	2006	English
tt0433442	The Return	2006	English
tt0433963	Dark Ride	2006	English
tt0434139	The Last Kiss	2006	English
tt0434215	Flicka	2006	English
tt0435653	The Gravedancers	2006	English
tt0435680	Kidulthood	2006	English
tt0435706	Nina's Heavenly Delights	2006	English
tt0435770	The Visitation	2006	English, French
