IMDb ID	Title	Year	Language(s)
tt0041604	Love Happy	1949	English
tt0036043	The Invader	1949	N/A
tt0041838	Samson and Delilah	1949	English
tt0042041	White Heat	1949	English
tt0041546	Kind Hearts and Coronets	1949	English
tt0041113	All the King's Men	1949	English
tt0041959	The Third Man	1949	English, German, Russian
tt0042279	Branded	1950	English
tt0042876	Rashomon	1950	Japanese
tt0042646	King Solomon's Mines	1950	English
tt0042332	Cinderella	1950	English
tt0042994	Stage Fright	1950	English
tt0042177	8 Ball Bunny	1950	English
tt0043067	Treasure Island	1950	English
tt0043014	Sunset Boulevard	1950	English
tt0041719	Orpheus	1950	French
tt0042192	All About Eve	1950	English, French
tt0042464	The Flame and the Arrow	1950	English
tt0042539	Halls of Montezuma	1951	English, Japanese
tt0043208	I Love Lucy	1951–1957	English, Spanish
tt0044079	Strangers on a Train	1951	English, French
tt0043456	The Day the Earth Stood Still	1951	English, French, Hindi, Russian
tt0043265	The African Queen	1951	English, German, Swahili
tt0043274	Alice in Wonderland	1951	English
tt0044081	A Streetcar Named Desire	1951	English, Spanish
tt0044517	The Crimson Pirate	1952	English
tt0044314	5 Fingers	1952	English, German, Portuguese, Turkish
tt0044741	Ikiru	1952	Japanese
tt0044706	High Noon	1952	English, Spanish
tt0045034	Le Plaisir	1952	French, English
tt0045296	Viva Zapata!	1952	English, Spanish
tt0045185	Adventure in Berlin	1952	German
tt0043686	Forbidden Games	1952	French
tt0044837	Limelight	1952	English
tt0045152	Singin' in the Rain	1952	English
tt0044685	Hans Christian Andersen	1952	English
tt0044760	Ivanhoe	1952	English
tt0045518	Arrowhead	1953	English
tt0046359	Stalag 17	1953	English, German, Russian
tt0046303	Shane	1953	English
tt0047677	The Wild One	1953	English
tt0046183	Peter Pan	1953	English, American Sign Language
tt0046035	The Man from the Alamo	1953	English
tt0046534	The War of the Worlds	1953	English, Spanish
tt0045793	From Here to Eternity	1953	English
tt0046250	Roman Holiday	1953	English, Italian, German
tt0047162	The Last Time I Saw Paris	1954	English
tt0047136	Johnny Guitar	1954	English
tt0047443	Salt of the Earth	1954	English, Spanish
tt0047472	Seven Brides for Seven Brothers	1954	English
tt0047647	Vera Cruz	1954	English, Spanish, French
tt0047296	On the Waterfront	1954	English
tt0047396	Rear Window	1954	English
tt0179068	Aldri annet enn bråk	1954	Norwegian
tt0046672	20,000 Leagues Under the Sea	1954	English
tt0046816	The Caine Mutiny	1954	English
tt0044386	Robinson Crusoe	1954	English, Spanish
tt0047478	Seven Samurai	1954	Japanese
tt0046731	Attila	1954	Italian
tt0047422	River of No Return	1954	English
tt0047013	Garden of Evil	1954	English, Spanish
tt0047437	Sabrina	1954	English, French
tt0046912	Dial M for Murder	1954	English
tt0047834	Animal Farm	1954	English
tt0047528	La Strada	1954	Italian
tt0047313	The Gold of Naples	1954	Italian
tt0048728	To Catch a Thief	1955	English, French
tt0047969	Daddy Long Legs	1955	English, French
tt0047795	Abbott and Costello Meet the Mummy	1955	English, French
tt0048729	To Hell and Back	1955	English, German, Italian
tt0048034	The End of the Affair	1955	English
tt0048691	The Tall Men	1955	English, Spanish
tt0508154	Don't Come Back Alive	1955	English
tt0048613	Shree 420	1955	Hindi, Marathi
tt0048021	Rififi	1955	French, Italian, English
tt0048028	East of Eden	1955	English
tt0508270	The Cheney Vase	1955	English
tt0508235	Revenge	1955	English
tt0049096	The Court Jester	1955	English
tt0048545	Rebel Without a Cause	1955	English
tt0048605	The Seven Year Itch	1955	English
tt0048280	Lady and the Tramp	1955	English
tt0048424	The Night of the Hunter	1955	English
tt0049830	The Teahouse of the August Moon	1956	English, Japanese
tt0048980	The Red Balloon	1956	French
tt0049004	Between Heaven and Hell	1956	English, Japanese
tt0048434	Night and Fog	1956	French
tt0508122	And So Died Riabouchinska	1956	English
tt0049513	Moby Dick	1956	English
tt0508369	You Got to Have Luck	1956	English
tt0048960	Around the World in 80 Days	1956	English, Spanish, French
tt0051207	The Wrong Man	1956	English, Italian, Spanish
tt0049833	The Ten Commandments	1956	English
tt0049408	The King and I	1956	English, Thai
tt0049261	Giant	1956	English, Spanish
tt0049406	The Killing	1956	English
tt0049189	...And God Created Woman	1956	French, English
tt0048233	Jubal	1956	English
tt0508331	The Older Sister	1956	English
tt0049730	The Searchers	1956	English, Navajo, Spanish
tt0049470	The Man Who Knew Too Much	1956	English, French, Arabic
tt0050783	The Nights of Cabiria	1957	Italian
tt0050976	The Seventh Seal	1957	Swedish, Latin
tt0050260	Crazy in the Noodle	1957	French
tt0050629	Legend of the Lost	1957	English
tt0050083	12 Angry Men	1957	English
tt0051077	The Three Faces of Eve	1957	English
tt0050798	Old Yeller	1957	English
tt0051082	Quiet Flows the Don	1957	Russian
tt0050986	Wild Strawberries	1957	Swedish, Latin
tt0051201	Witness for the Prosecution	1957	English, German
tt0508145	Crackpot	1957	English
tt0050468	Gunfight at the O.K. Corral	1957	English
tt0050825	Paths of Glory	1957	English, German, Latin
tt0050212	The Bridge on the River Kwai	1957	English, Japanese, Thai
tt0050613	Throne of Blood	1957	Japanese
tt0050598	A King in New York	1957	English
tt0052027	The Old Man and the Sea	1958	English
tt0052276	Taxi, Trailer and Corrida	1958	French, Spanish
tt0673232	The Case of the Daring Decoy	1958	English
tt0052357	Vertigo	1958	English
tt0051978	The Naked and the Dead	1958	English
tt0052311	Touch of Evil	1958	English, Spanish
tt0673217	The Case of the Cautious Coquette	1958	N/A
tt0051337	The 7th Voyage of Sinbad	1958	English
tt0051808	The Hidden Fortress	1958	Japanese
tt0051989	Neither Seen Nor Recognized	1958	French
tt0052365	The Vikings	1958	English
tt0051565	Dunkirk	1958	English, German
tt0051994	A Night to Remember	1958	English, Russian, German, Italian, Polish
tt0187550	Tikhiy Don II	1958	N/A
tt0051418	The Blob	1958	English
tt0051878	The Long, Hot Summer	1958	English
tt0053335	Tarzan, the Ape Man	1959	English
tt0734555	And When the Sky Was Opened	1959	English
tt0053198	The 400 Blows	1959	French, English
tt0734683	Time Enough at Last	1959	English
tt0052564	The Angry Red Planet	1959	English
